Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Thursday 5 October 2023,10:00,Clear,16°,4,77%,1027 hPa
Thursday 5 October 2023,10:30,Clear,18°,2,73%,1027 hPa
Thursday 5 October 2023,11:00,Clear,19°,4,68%,1027 hPa
Thursday 5 October 2023,11:30,Clear,21°,4,64%,1027 hPa
Thursday 5 October 2023,12:00,Clear,23°,Calm,57%,1027 hPa
Thursday 5 October 2023,12:30,Clear,24°,Calm,57%,1027 hPa
Thursday 5 October 2023,13:00,Clear,25°,4,54%,1027 hPa
Thursday 5 October 2023,13:30,Clear,27°,2,48%,1027 hPa
Thursday 5 October 2023,14:00,Clear,28°,4,42%,1026 hPa
Thursday 5 October 2023,14:30,Clear,28°,2,42%,1026 hPa
Thursday 5 October 2023,15:00,Clear,29°,2,37%,1025 hPa
Thursday 5 October 2023,15:30,Clear,30°,Calm,38%,1025 hPa
Thursday 5 October 2023,16:00,Clear,30°,Calm,33%,1025 hPa
Thursday 5 October 2023,16:30,Clear,30°,2,33%,1025 hPa
Thursday 5 October 2023,17:00,Clear,31°,6,26%,1024 hPa
Thursday 5 October 2023,17:30,Clear,31°,4,24%,1024 hPa
Thursday 5 October 2023,18:00,Clear,31°,Calm,26%,1024 hPa
Thursday 5 October 2023,18:30,Clear,31°,2,24%,1024 hPa
Thursday 5 October 2023,19:00,Clear,30°,Calm,38%,1024 hPa
Thursday 5 October 2023,19:30,Clear,28°,Calm,30%,1024 hPa
Thursday 5 October 2023,20:00,Clear,26°,Calm,32%,1024 hPa
Thursday 5 October 2023,20:30,Clear,24°,Calm,41%,1024 hPa
Thursday 5 October 2023,21:00,Clear,22°,2,46%,1024 hPa
Thursday 5 October 2023,21:30,Clear,23°,6,47%,1024 hPa
Thursday 5 October 2023,22:00,Clear,22°,6,53%,1025 hPa
Thursday 5 October 2023,22:30,Clear,21°,9,56%,1025 hPa
Thursday 5 October 2023,23:00,Clear,20°,9,60%,1025 hPa
Thursday 5 October 2023,23:30,Clear,19°,6,64%,1025 hPa
Friday 6 October 2023,00:00,Clear,19°,7,64%,1025 hPa
Friday 6 October 2023,00:30,Clear,19°,6,64%,1025 hPa
Friday 6 October 2023,01:00,Clear,19°,4,60%,1025 hPa
Friday 6 October 2023,01:30,Clear,17°,4,68%,1025 hPa
Friday 6 October 2023,02:00,Clear,17°,4,72%,1025 hPa
Friday 6 October 2023,02:30,Clear,16°,7,72%,1026 hPa
Friday 6 October 2023,03:00,Clear,15°,9,77%,1025 hPa
Friday 6 October 2023,03:30,Clear,16°,7,77%,1025 hPa
Friday 6 October 2023,04:00,Clear,16°,6,72%,1025 hPa
Friday 6 October 2023,04:30,Clear,15°,6,77%,1025 hPa
Friday 6 October 2023,05:00,Clear,16°,9,72%,1025 hPa
Friday 6 October 2023,05:30,Clear,15°,7,77%,1025 hPa
